timestamp,ip_src,ip_dest,src_port,dest_port,protocol,payload_len,app_protocol,is_ascii,suspicious_keywords,has_suspicious_keywords,error
2025-07-05T16:00:36.240197,1.1.1.1,192.168.0.106,53,41767,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.249075,192.168.0.106,1.1.1.1,44635,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.259797,1.1.1.1,192.168.0.106,53,44635,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.273059,192.168.0.106,1.1.1.1,35976,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.281246,1.1.1.1,192.168.0.106,53,35976,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.288940,192.168.0.106,1.1.1.1,47215,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.298651,1.1.1.1,192.168.0.106,53,47215,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.308887,192.168.0.106,1.1.1.1,50864,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.318500,1.1.1.1,192.168.0.106,53,50864,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.326999,192.168.0.106,1.1.1.1,45944,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.335560,1.1.1.1,192.168.0.106,53,45944,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.343352,192.168.0.106,1.1.1.1,37919,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.351666,1.1.1.1,192.168.0.106,53,37919,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.363078,192.168.0.106,1.1.1.1,41571,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.372084,1.1.1.1,192.168.0.106,53,41571,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.379866,192.168.0.106,1.1.1.1,34079,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.389389,1.1.1.1,192.168.0.106,53,34079,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.396955,192.168.0.106,1.1.1.1,52607,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.566205,1.1.1.1,192.168.0.106,53,52607,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.661475,192.168.0.106,1.1.1.1,32862,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.743684,1.1.1.1,192.168.0.106,53,32862,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.750452,192.168.0.106,1.1.1.1,38072,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.758038,1.1.1.1,192.168.0.106,53,38072,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.765907,192.168.0.106,1.1.1.1,54109,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.832730,1.1.1.1,192.168.0.106,53,54109,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.840426,192.168.0.106,1.1.1.1,37932,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.849780,1.1.1.1,192.168.0.106,53,37932,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.858272,192.168.0.106,1.1.1.1,46280,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.866695,1.1.1.1,192.168.0.106,53,46280,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.908140,192.168.0.106,1.1.1.1,35671,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.919353,1.1.1.1,192.168.0.106,53,35671,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.991490,192.168.0.106,1.1.1.1,48908,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.997858,1.1.1.1,192.168.0.106,53,48908,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.004545,192.168.0.106,1.1.1.1,40141,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.012308,1.1.1.1,192.168.0.106,53,40141,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.019751,192.168.0.106,1.1.1.1,44004,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.071326,1.1.1.1,192.168.0.106,53,44004,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.154839,192.168.0.106,1.1.1.1,58428,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.161550,1.1.1.1,192.168.0.106,53,58428,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.168882,192.168.0.106,1.1.1.1,37746,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.242859,1.1.1.1,192.168.0.106,53,37746,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.249292,192.168.0.106,1.1.1.1,50494,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.257272,1.1.1.1,192.168.0.106,53,50494,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.264730,192.168.0.106,1.1.1.1,60072,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.273124,1.1.1.1,192.168.0.106,53,60072,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.319132,192.168.0.106,1.1.1.1,60647,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.327136,1.1.1.1,192.168.0.106,53,60647,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.401706,192.168.0.106,1.1.1.1,40128,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.408838,1.1.1.1,192.168.0.106,53,40128,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.415736,192.168.0.106,1.1.1.1,58404,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.426570,1.1.1.1,192.168.0.106,53,58404,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.435185,192.168.0.106,1.1.1.1,38074,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.496232,1.1.1.1,192.168.0.106,53,38074,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.566326,192.168.0.106,1.1.1.1,36434,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.572910,1.1.1.1,192.168.0.106,53,36434,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.580663,192.168.0.106,1.1.1.1,41678,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.650296,1.1.1.1,192.168.0.106,53,41678,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.656359,192.168.0.106,1.1.1.1,50887,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.662870,1.1.1.1,192.168.0.106,53,50887,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.670378,192.168.0.106,1.1.1.1,46850,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.678902,1.1.1.1,192.168.0.106,53,46850,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.686694,192.168.0.106,1.1.1.1,33586,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.730660,1.1.1.1,192.168.0.106,53,33586,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.741320,192.168.0.106,1.1.1.1,39397,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.813720,1.1.1.1,192.168.0.106,53,39397,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.819904,192.168.0.106,1.1.1.1,51184,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.828340,1.1.1.1,192.168.0.106,53,51184,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.839387,192.168.0.106,1.1.1.1,36491,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.905092,1.1.1.1,192.168.0.106,53,36491,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:37.910743,192.168.0.106,1.1.1.1,35477,53,UDP,0,DNS,0,none,0,None
